ticker,sector,aliases
CSIS,REALESTATE,CSIS|Cahayasakti Investindo|Cahayasakti Investindo Sukses
CSMI,RUMAHMAKAN,CSMI|Cipta Selera|Cipta Selera Murni
CSRA,PANGAN,CSRA|Cisadane Sawit|Cisadane Sawit Raya
CTBN,LOGAM,CTBN|Citra Tubindo
CTRA,REALESTATE,CTRA|Ciputra Development
CTTH,BANGUNAN,CTTH|Citatah
CUAN,BATUBARA,CUAN|Petrindo Jaya|Petrindo Jaya Kreasi
CYBR,TEKNOLOGI,CYBR|Itsec Asia
DAAZ,TAMBANG,DAAZ|Daaz Bara|Daaz Bara Lestari
DADA,REALESTATE,DADA|Diamond Citra|Diamond Citra Propertindo
DART,REALESTATE,DART|Duta Anggada|Duta Anggada Realty
DATA,TELEKOMUNIKASI,DATA|Remala Abadi
DAYA,OBAT,DAYA|Duta Intidaya
DCII,TEKNOLOGI,DCII|Dci Indonesia
DEAL,LOGISTIK,DEAL|Dewata Freight|Dewata Freight International
DEFI,PEMBIAYAAN,DEFI|Danasupra Erapacific
DEPO,RUMAHTANGGA,DEPO|Caturkarda Depo|Caturkarda Depo Bangunan
DEWA,TAMBANG,DEWA|Darma Henwa
DEWI,BUDIDAYA,DEWI|Dewi Shri|Dewi Shri Farmindo
DFAM,HOTEL,DFAM|Dafam Property|Dafam Property Indonesia
DGIK,KONSTRUKSI,DGIK|Nusa Konstruksi|Nusa Konstruksi Enjiniring
DGNS,KESEHATAN,DGNS|Diagnos Laboratorium|Diagnos Laboratorium Utama
DGWG,KIMIA,DGWG|Delta Giri|Delta Giri Wacana
DIGI,FILM,DIGI|Arkadia Digital|Arkadia Digital Media
DILD,REALESTATE,DILD|Intiland Development
DIVA,INTERNET,DIVA|Distribusi Voucher|Distribusi Voucher Nusantara
DKFT,TAMBANG,DKFT|Central Omega|Central Omega Resources
DKHH,KESEHATAN,DKHH|Cipta Sarana|Cipta Sarana Medika
DLTA,BEER,DLTA|Delta Djakarta
DMAS,REALESTATE,DMAS|Puradelta Lestari
DMMX,TEKNOLOGI,DMMX|Digital Mediatama|Digital Mediatama Maxima
DMND,MAKANAN,DMND|Diamond Food|Diamond Food Indonesia
DNAR,BANK,DNAR|Bank Oke|Bank Oke Indonesia
DNET,INVESTASI,DNET|Indoritel Makmur|Indoritel Makmur Internasional
DOID,TAMBANG,DOID|Delta Dunia|Delta Dunia Makmur
DOOH,PERIKLANAN,DOOH|Era Media|Era Media Sejahtera
DOSS,ELEKTRONIK,DOSS|Global Sukses|Global Sukses Digital
DPNS,KIMIA,DPNS|Duta Pertiwi|Duta Pertiwi Nusantara
DPUM,BUDIDAYA,DPUM|Dua Putra|Dua Putra Utama Makmur
DRMA,OTOMOTIF,DRMA|Dharma Polimetal
DSFI,BUDIDAYA,DSFI|Dharma Samudera|Dharma Samudera Fishing Industris
DSNG,PANGAN,DSNG|Dharma Satya|Dharma Satya Nusantara
DSSA,BATUBARA,DSSA|Dian Swastatika|Dian Swastatika Sentosa
DUCK,RUMAHMAKAN,DUCK|Jaya Bersama|Jaya Bersama Indo
